dataset_file,rows,purpose
exp1_platform_adoption_effect.csv,3,Experiment 1 / RQ1: PSM + DID platform adoption effect
exp2_governance_mechanism_features.csv,6,Experiment 2 / RQ2: governance transparency & compliance indices
exp3_equity_and_distribution_metrics.csv,7,"Experiment 3 / RQ3: fairness, concentration, and mismatch metrics"
rq1_psm_did_panel.csv,2496,Experiment 1 / RQ1: PSM + DID platform adoption effect
rq2_governance_index.csv,220,Experiment 2 / RQ2: governance transparency & compliance indices
rq3_fairness_distribution.csv,220,"Experiment 3 / RQ3: fairness, concentration, and mismatch metrics"
